"field:1(p0)","field:1(p1)","field:1(p2)","field:1(p3)","field:1(p4)","field:1(p5)","field:1(p6)","field:1(p7)","field:1(p8)","field:1(p9)","field:1(p10)","field:1(p11)","field:1(p12)","field:1(p13)","field:1(p14)","field:1(p15)","field:1(p16)","field:1(p17)","field:1(p18)","field:1(p19)","field:1(p20)","field:1(p21)","field:1(p22)","field:1(p23)","field:1(p24)","field:1(p25)","field:2(p0)","field:2(p1)","field:2(p2)","field:3(p0)","field:3(p1)","field:3(p2)","field:4","field:5(p0)","field:5(p1)","field:5(p2)","field:5(p3)","field:5(p4)","field:5(p5)","field:5(p6)","field:5(p7)","field:6(p0)","field:6(p1)","field:6(p2)","field:6(p3)","field:7(p0)","field:7(p1)"
0,0.8320502943378438,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.34285714285714286,0.75,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0,0.9682458365518543,-0.25,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956197774545972,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.48571428571428577,-0.7500000000000001,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0.912870929175277,-0.32274861218395134,-0.25,1,-1
-0.7205766921228921,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.5428571428571429,0,0.8660254037844388,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9966499068325334,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.11428571428571432,0,0.8660254037844388,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0.790569415042095,-0.4564354645876385,-0.32274861218395134,-0.25,1,-1
0,0,0,0,0,0,0,0,0,0,0,0.9790709277967582,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.48571428571428577,0,0.8660254037844388,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
-0.7205766921228921,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.5428571428571429,0,0.8660254037844388,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956197774545972,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.4285714285714286,0.75,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
-0.7205766921228921,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.4571428571428571,0,0,0.9185586535436918,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
0.7205766921228922,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.02857142857142847,0.75,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.2857142857142857,0,0,0.9185586535436918,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0.790569415042095,-0.4564354645876385,-0.32274861218395134,-0.25,1,-1
0,0,0,0,0.9302605094190635,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.19999999999999996,0.75,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0,0.9682458365518543,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956197774545972,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.3142857142857143,0,0,0.9185586535436918,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
-0.7205766921228921,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.8285714285714285,0,0,0,0.948683298050514,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975932576417643,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.37142857142857144,0,0.8660254037844388,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.11428571428571432,0,0.8660254037844388,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0.790569415042095,-0.4564354645876385,-0.32274861218395134,-0.25,1,-1
-0.7205766921228921,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.8285714285714285,-0.7500000000000001,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0,0,1,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975932576417643,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.6000000000000001,-0.7500000000000001,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0.912870929175277,-0.32274861218395134,-0.25,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956197774545972,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.4285714285714286,0,0,0.9185586535436918,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9886230654859616,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.6,0.75,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0,0.9682458365518543,-0.25,1,-1
0,0,0,0,0,0,0,0,0,0,0,0.9790709277967582,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.3142857142857143,-0.7500000000000001,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0.9790709277967582,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.5428571428571429,0.75,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0.912870929175277,-0.32274861218395134,-0.25,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956197774545972,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.17142857142857137,0,0.8660254037844388,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,1,-1
0.7205766921228922,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.1428571428571428,0.75,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,1,-1
0.7205766921228922,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.08571428571428574,0,0.8660254037844388,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956197774545972,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.7142857142857142,-0.7500000000000001,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0.790569415042095,-0.4564354645876385,-0.32274861218395134,-0.25,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956197774545972,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.19999999999999996,-0.7500000000000001,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0.912870929175277,-0.32274861218395134,-0.25,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975932576417643,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.1428571428571428,-0.7500000000000001,-0.4330127018922194,-0.30618621784789724,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,0,0.912870929175277,-0.32274861218395134,-0.25,1,-1
0.7205766921228922,-0.4160251471689219,-0.29417420270727623,-0.2278663575938249,-0.18605210188381271,-0.15724272550828777,-0.1361761948504805,-0.12009611535381537,-0.10741723110591495,-0.09716254134469438,-0.08869685939836236,-0.08158924398306322,-0.07553696200476656,-0.07032108464077436,-0.06577935144802716,-0.061788941592872626,-0.05825517280354631,-0.055103876877798386,-0.05227612765179923,-0.049724515809884684,-0.047410465593076045,-0.04530226849238783,-0.04337361989746802,-0.041602514716892136,-0.039970403251589515,-0.038461538461538436,0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.816496580927726,-0.4714045207910318,-0.33333333333333326,0.8571428571428572,0,0,0.9185586535436918,-0.2371708245126285,-0.19364916731037085,-0.16366341767699433,-0.14173667737846019,-0.125,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,1,-1
